transaction_date,description,credit_amount,reference_number,value_date
2026-08-06,IMPS-PUNB000920814900-SETTLEMENT,908.05,PUNB000920814900,2026-08-06
2026-08-27,NEFT-PUNB000740799178-RAZORPAY,1864.92,PUNB000740799178,2026-08-27
2026-08-18,NEFT-xxxxxxxx85758835-RZP,1063.78,85758835,2026-08-18
2026-08-25,IMPS-UTIB000101815992-SETTLEMENT,1435.31,UTIB000101815992,2026-08-25
2026-08-11,NEFT-SBIN000304235259-RAZORPAY,4481.68,SBIN000304235259,2026-08-11
2026-09-01,NEFT-HDFC000935822550-RAZORPAY,507.73,HDFC000935822550,2026-09-01
2026-08-11,NEFT-SBIN000339670711-RAZORPAY,3681.75,SBIN000339670711,2026-08-11
2026-08-17,UPI-PUNB000455569462,2235.96,PUNB000455569462,2026-08-17
2026-08-28,NEFT-UTIB000514548900-RAZORPAY,3708.28,UTIB000514548900,2026-08-28
2026-08-25,UPI-HDFC000262915636,2939.69,HDFC000262915636,2026-08-25
2026-08-11,UPI-UTIB000335602191,4481.68,UTIB000335602191,2026-08-11
2026-08-17,NEFT-ICIC000570406376-RAZORPAY,1484.13,ICIC000570406376,2026-08-17
2026-08-13,UPI-ICIC000917364173,2118.79,ICIC000917364173,2026-08-13
2026-08-17,UPI-ICIC000695295870,3817.72,ICIC000695295870,2026-08-17
2026-08-27,UPI-PUNB000508427798,4432.86,PUNB000508427798,2026-08-27
2026-08-23,NEFT-xxxxxxxx71527524-RZP,751.58,71527524,2026-08-23
2026-08-11,UPI-UTIB000711871397,1874.69,UTIB000711871397,2026-08-11
2026-08-11,IMPS-SBIN000608482316-SETTLEMENT,4677.44,SBIN000608482316,2026-08-11
2026-08-18,NEFT-SBIN000582334538-RAZORPAY,3729.85,SBIN000582334538,2026-08-18
2026-08-11,NEFT-HDFC000874473159-RAZORPAY,1835.63,HDFC000874473159,2026-08-11
2026-08-17,NEFT-PUNB000706011277-RAZORPAY,3593.15,PUNB000706011277,2026-08-17
2026-08-11,UPI-PUNB000560027313,4208.28,PUNB000560027313,2026-08-11
2026-08-21,NEFT-HDFC000191969690-RAZORPAY,771.36,HDFC000191969690,2026-08-21
2026-08-18,IMPS-PUNB000649136331-SETTLEMENT,4130.17,PUNB000649136331,2026-08-18
2026-08-25,NEFT-UTIB000877583839-RAZORPAY,624.90,UTIB000877583839,2026-08-25
2026-08-25,UPI-HDFC000165082363,3847.02,HDFC000165082363,2026-08-25
2026-08-25,NEFT-SBIN000384161612-RAZORPAY,4179.48,SBIN000384161612,2026-08-25
2026-08-25,NEFT-BATCH-SETTLEMENT-RZP,9392.96,UTIB000409471503,2026-08-25
2026-08-07,UPI-PUNB000733701411,2458.49,PUNB000733701411,2026-08-07
2026-08-19,NEFT-UTIB000991816852-RAZORPAY,3544.33,UTIB000991816852,2026-08-19
2026-08-25,NEFT-UTIB000465341213-RAZORPAY,4276.63,UTIB000465341213,2026-08-25
2026-08-11,UPI-SBIN000958872154,3583.39,SBIN000958872154,2026-08-11
2026-09-01,NEFT-xxxxxxxx39403247-RZP,3797.70,39403247,2026-09-01
2026-08-24,IMPS-UTIB000327416584-SETTLEMENT,1806.34,UTIB000327416584,2026-08-24
2026-09-01,UPI-UTIB000295130056,3700.56,UTIB000295130056,2026-09-01
2026-08-18,NEFT-PUNB000388187517-RAZORPAY,4354.74,PUNB000388187517,2026-08-18
2026-08-05,IMPS-UTIB000203848421-SETTLEMENT,4296.16,UTIB000203848421,2026-08-05
2026-08-10,IMPS-UTIB000692362342-SETTLEMENT,3671.26,UTIB000692362342,2026-08-10
2026-08-10,NEFT-ICIC000115191689-RAZORPAY,1962.56,ICIC000115191689,2026-08-10
2026-08-18,UPI-UTIB000825449223,3759.14,UTIB000825449223,2026-08-18
2026-08-19,NEFT-xxxxxxxx45805127-RZP,4344.48,45805127,2026-08-19
2026-08-13,IMPS-HDFC000731691672-SETTLEMENT,1718.46,HDFC000731691672,2026-08-13
2026-08-27,NEFT-ICIC000925276600-RAZORPAY,4091.84,ICIC000925276600,2026-08-27
2026-08-12,IMPS-ICIC000325681936-SETTLEMENT,3222.12,ICIC000325681936,2026-08-12
2026-09-01,NEFT-PUNB000269042105-RAZORPAY,3407.64,PUNB000269042105,2026-09-01
2026-08-10,IMPS-HDFC000538642403-SETTLEMENT,1679.90,HDFC000538642403,2026-08-10
2026-08-26,IMPS-SBIN000491079829-SETTLEMENT,4081.35,SBIN000491079829,2026-08-26
2026-08-18,IMPS-SBIN000394846763-SETTLEMENT,4315.69,SBIN000394846763,2026-08-18
2026-08-27,NEFT-ICIC000185675980-RAZORPAY,830.43,ICIC000185675980,2026-08-27
2026-08-07,UPI-SBIN000168965204,1640.35,SBIN000168965204,2026-08-07
2026-08-24,NEFT-xxxxxxxx30380269-RZP,1924.01,30380269,2026-08-24
2026-08-18,UPI-UTIB000951405188,2860.85,UTIB000951405188,2026-08-18
2026-08-21,IMPS-HDFC000178663096-SETTLEMENT,2772.98,HDFC000178663096,2026-08-21
2026-08-18,IMPS-UTIB000696115913-SETTLEMENT,908.05,UTIB000696115913,2026-08-18
2026-08-24,IMPS-HDFC000550139320-SETTLEMENT,3378.34,HDFC000550139320,2026-08-24
2026-08-07,NEFT-PUNB000629908599-RAZORPAY,1581.77,PUNB000629908599,2026-08-07
2026-08-25,NEFT-UTIB000266211829-RAZORPAY,4403.56,UTIB000266211829,2026-08-25
2026-08-31,UPI-HDFC000345938494,1581.77,HDFC000345938494,2026-08-31
2026-08-20,NEFT-HDFC000903132646-RAZORPAY,771.36,HDFC000903132646,2026-08-20
2026-08-05,NEFT-BATCH-SETTLEMENT-RZP,9002.65,UTIB000657233178,2026-08-05
2026-08-19,NEFT-xxxxxxxx00082623-RZP,2041.18,00082623,2026-08-19
2026-09-01,NEFT-ICIC000642678844-RAZORPAY,1503.66,ICIC000642678844,2026-09-01
2026-08-12,IMPS-HDFC000721358005-SETTLEMENT,4072.08,HDFC000721358005,2026-08-12
2026-08-26,IMPS-PUNB000798423334-SETTLEMENT,1249.79,PUNB000798423334,2026-08-26
2026-08-27,NEFT-HDFC000909851739-RAZORPAY,1601.30,HDFC000909851739,2026-08-27
2026-08-10,UPI-UTIB000327761953,2167.86,UTIB000327761953,2026-08-10
2026-08-26,NEFT-UTIB000675770529-RAZORPAY,1806.34,UTIB000675770529,2026-08-26
2026-08-11,IMPS-ICIC000280162221-SETTLEMENT,1572.00,ICIC000280162221,2026-08-11
2026-08-11,NEFT-HDFC000575808013-RAZORPAY,2597.47,HDFC000575808013,2026-08-11
2026-08-11,UPI-ICIC000749431082,4198.52,ICIC000749431082,2026-08-11
2026-08-19,IMPS-PUNB000128492780-SETTLEMENT,947.11,PUNB000128492780,2026-08-19
2026-08-11,UPI-UTIB000222500131,1406.02,UTIB000222500131,2026-08-11
2026-08-07,NEFT-BATCH-SETTLEMENT-RZP,8094.36,UTIB000570040006,2026-08-07
2026-08-18,NEFT-BATCH-SETTLEMENT-RZP,6210.15,SBIN000795392488,2026-08-18
2026-08-17,UPI-SBIN000932734539,3973.95,SBIN000932734539,2026-08-17
2026-08-11,UPI-ICIC000812921644,1591.53,ICIC000812921644,2026-08-11
2026-08-25,NEFT-ICIC000696776072-RAZORPAY,1884.45,ICIC000696776072,2026-08-25
2026-08-11,IMPS-PUNB000870854579-SETTLEMENT,2489.82,PUNB000870854579,2026-08-11
2026-08-17,UPI-ICIC000399147754,605.37,ICIC000399147754,2026-08-17
2026-08-12,NEFT-HDFC000244193987-RAZORPAY,3817.72,HDFC000244193987,2026-08-12
2026-08-11,NEFT-xxxxxxxx57429971-RZP,2977.52,57429971,2026-08-11
2026-08-18,UPI-HDFC000904258674,1747.76,HDFC000904258674,2026-08-18
2026-08-11,IMPS-HDFC000848605284-SETTLEMENT,3934.89,HDFC000848605284,2026-08-11
2026-08-17,IMPS-UTIB000867741192-SETTLEMENT,3866.54,UTIB000867741192,2026-08-17
2026-08-07,IMPS-PUNB000138684919-SETTLEMENT,527.98,PUNB000138684919,2026-08-07
2026-08-20,UPI-ICIC000848846217,1855.65,ICIC000848846217,2026-08-20
2026-08-28,IMPS-UTIB000406284028-SETTLEMENT,2431.24,UTIB000406284028,2026-08-28
2026-08-05,NEFT-UTIB000545002643-RAZORPAY,3534.57,UTIB000545002643,2026-08-05
2026-08-11,NEFT-SBIN000819112790-RAZORPAY,3095.19,SBIN000819112790,2026-08-11
2026-08-25,UPI-HDFC000479759538,1532.95,HDFC000479759538,2026-08-25
2026-08-18,NEFT-ORPHAN-CREDIT,2440,UTIB000680911523,2026-08-18
2026-08-18,UPI-HDFC000875340444,1952.80,HDFC000875340444,2026-08-18
2026-08-25,UPI-SBIN000760904107,3807.96,SBIN000760904107,2026-08-25
2026-08-17,UPI-UTIB000106330865,3964.91,UTIB000106330865,2026-08-17
