order_id,customer_name,amount_charged,order_date,order_status
order_42_0001,Customer_242,3770.75,2026-08-09,paid
order_42_0002,Customer_532,3960,2026-08-18,paid
order_42_0003,Customer_674,970,2026-08-17,paid
order_42_0004,Customer_703,3820,2026-08-14,paid
order_42_0005,Customer_384,4380,2026-08-23,paid
order_42_0006,Customer_467,4400,2026-08-03,paid
order_42_0007,Customer_227,1850,2026-08-24,paid
order_42_0008,Customer_691,3320,2026-08-21,paid
order_42_0009,Customer_975,850.5,2026-08-25,paid
order_42_0010,Customer_479,2440,2026-08-21,paid
order_42_0011,Customer_750,3930,2026-08-22,paid
order_42_0012,Customer_755,4230,2026-08-15,paid
order_42_0013,Customer_941,1620,2026-08-27,paid
order_42_0014,Customer_422,2550,2026-08-07,paid
order_42_0015,Customer_371,3050,2026-08-21,paid
order_42_0016,Customer_697,4310,2026-08-09,paid
order_42_0017,Customer_193,1620,2026-08-05,paid
order_42_0018,Customer_165,1280,2026-08-26,paid
order_42_0019,Customer_981,3550,2026-08-17,paid
order_42_0020,Customer_756,4190.75,2026-08-25,paid
order_42_0021,Customer_996,2000,2026-08-15,paid
order_42_0022,Customer_405,3060,2026-08-17,paid
order_42_0023,Customer_897,3610.25,2026-08-25,paid
order_42_0024,Customer_999,3560,2026-08-01,paid
order_42_0025,Customer_849,790,2026-08-19,paid
order_42_0026,Customer_586,4390,2026-08-05,paid
order_42_0027,Customer_652,1850,2026-08-20,paid
order_42_0028,Customer_629,1520,2026-08-13,paid
order_42_0029,Customer_667,1760,2026-08-11,paid
order_42_0030,Customer_169,1620.75,2026-08-21,paid
order_42_0031,Customer_652,860,2026-08-09,paid
order_42_0032,Customer_516,3420,2026-08-08,paid
order_42_0033,Customer_578,990,2026-08-12,paid
order_42_0034,Customer_512,3940,2026-08-21,paid
order_42_0035,Customer_649,4590,2026-08-08,paid
order_42_0036,Customer_927,2660.25,2026-08-08,paid
order_42_0037,Customer_871,750,2026-08-18,paid
order_42_0038,Customer_268,2580,2026-08-07,paid
order_42_0039,Customer_533,2490,2026-08-26,paid
order_42_0040,Customer_294,4510,2026-08-23,paid
order_42_0041,Customer_421,790,2026-08-18,paid
order_42_0042,Customer_158,3490,2026-08-28,paid
order_42_0043,Customer_222,4850.75,2026-08-03,paid
order_42_0044,Customer_773,3460,2026-08-20,paid
order_42_0045,Customer_833,3170,2026-08-09,paid
order_42_0046,Customer_423,1850,2026-08-22,paid
order_42_0047,Customer_650,2840,2026-08-19,paid
order_42_0048,Customer_391,1850.25,2026-08-03,paid
order_42_0049,Customer_769,4760,2026-08-10,paid
order_42_0050,Customer_370,3910,2026-08-10,paid
