payment_id,order_id,gross_amount,razorpay_fee,gst_on_fee,tds,settled_amount,utr,settlement_date,payment_date,method,status
pay_42_0001,order_42_0001,3770.75,75.42,13.58,0.00,3681.75,SBIN000339670711,2026-08-11,2026-08-09,netbanking,settled
pay_42_0002,order_42_0002,3960,79.20,14.26,0.00,3866.54,HDFC000734036506,2026-08-20,2026-08-18,upi,settled
pay_42_0003,order_42_0003,970,19.40,3.49,0.00,947.11,PUNB000128492780,2026-08-19,2026-08-17,upi,settled
pay_42_0004,order_42_0004,3820,76.40,13.75,0.00,3729.85,SBIN000582334538,2026-08-18,2026-08-14,card,settled
pay_42_0005,order_42_0005,4380,87.60,15.77,0.00,4276.63,UTIB000465341213,2026-08-25,2026-08-23,upi,settled
pay_42_0006,order_42_0006,4400,88.00,15.84,0.00,4296.16,UTIB000203848421,2026-08-05,2026-08-03,card,settled
pay_42_0007,order_42_0007,1850,37.00,6.66,0.00,1806.34,UTIB000675770529,2026-08-26,2026-08-24,card,settled
pay_42_0008,order_42_0008,3320,66.40,11.95,0.00,3241.65,PUNB000488302652,2026-08-25,2026-08-21,upi,settled
pay_42_0009,order_42_0009,850.5,17.01,3.06,0.00,830.43,ICIC000185675980,2026-08-27,2026-08-25,upi,settled
pay_42_0010,order_42_0010,2440,48.80,8.78,0.00,2382.42,ICIC000274648506,2026-08-25,2026-08-21,card,settled
pay_42_0011,order_42_0011,3930,78.60,14.15,0.00,3837.25,HDFC000754049436,2026-08-25,2026-08-22,upi,settled
pay_42_0012,order_42_0012,4230,84.60,15.23,0.00,4130.17,UTIB000389854268,2026-08-18,2026-08-15,netbanking,settled
pay_42_0013,order_42_0013,1620,32.40,5.83,0.00,1581.77,HDFC000345938494,2026-08-31,2026-08-27,upi,settled
pay_42_0014,order_42_0014,2550,51.00,9.18,0.00,2489.82,PUNB000870854579,2026-08-11,2026-08-07,upi,settled
pay_42_0015,order_42_0015,3050,61.00,10.98,0.00,2978.02,UTIB000253407200,2026-08-25,2026-08-21,upi,settled
pay_42_0016,order_42_0016,4310,86.20,15.52,0.00,4208.28,PUNB000560027313,2026-08-11,2026-08-09,card,settled
pay_42_0017,order_42_0017,1620,32.40,5.83,0.00,1581.77,PUNB000629908599,2026-08-07,2026-08-05,upi,settled
pay_42_0018,order_42_0018,1280,25.60,4.61,0.00,1249.79,UTIB000740389325,2026-08-28,2026-08-26,card,settled
pay_42_0019,order_42_0019,3550,71.00,12.78,0.00,3466.22,ICIC000694021782,2026-08-19,2026-08-17,upi,settled
pay_42_0020,order_42_0020,4190.75,83.82,15.09,0.00,4091.84,ICIC000925276600,2026-08-27,2026-08-25,card,settled
pay_42_0021,order_42_0021,2000,40.00,7.20,0.00,1952.80,HDFC000875340444,2026-08-18,2026-08-15,netbanking,settled
pay_42_0022,order_42_0022,3060,61.20,11.02,0.00,2987.78,HDFC000771410971,2026-08-19,2026-08-17,netbanking,settled
pay_42_0023,order_42_0023,3610.25,72.20,13.00,0.00,3525.05,SBIN000679153816,2026-08-27,2026-08-25,netbanking,settled
pay_42_0024,order_42_0024,3560,71.20,12.82,0.00,3475.98,HDFC000489747629,2026-08-04,2026-08-01,card,settled
pay_42_0025,order_42_0025,790,15.80,2.84,0.00,771.36,HDFC000191969690,2026-08-21,2026-08-19,card,settled
pay_42_0026,order_42_0026,4390,87.80,15.80,0.00,4286.40,SBIN000808402051,2026-08-07,2026-08-05,netbanking,settled
pay_42_0027,order_42_0027,1850,37.00,6.66,0.00,1806.34,UTIB000327416584,2026-08-24,2026-08-20,netbanking,settled
pay_42_0028,order_42_0028,1520,30.40,5.47,0.00,1484.13,ICIC000570406376,2026-08-17,2026-08-13,card,settled
pay_42_0029,order_42_0029,1760,35.20,6.34,0.00,1718.46,HDFC000731691672,2026-08-13,2026-08-11,upi,settled
pay_42_0030,order_42_0030,1620.75,32.42,5.84,0.00,1582.49,HDFC000345824373,2026-08-25,2026-08-21,upi,settled
pay_42_0031,order_42_0031,860,17.20,3.10,0.00,839.70,UTIB000330035022,2026-08-11,2026-08-09,upi,settled
pay_42_0032,order_42_0032,3420,68.40,12.31,0.00,3339.29,UTIB000967043303,2026-08-11,2026-08-08,upi,settled
pay_42_0033,order_42_0033,990,19.80,3.56,0.00,966.64,UTIB000541417711,2026-08-14,2026-08-12,netbanking,settled
pay_42_0034,order_42_0034,3940,78.80,14.18,0.00,3847.02,HDFC000165082363,2026-08-25,2026-08-21,netbanking,settled
pay_42_0035,order_42_0035,4590,91.80,16.52,0.00,4481.68,SBIN000304235259,2026-08-11,2026-08-08,card,settled
pay_42_0036,order_42_0036,2660.25,53.20,9.58,0.00,2597.47,HDFC000575808013,2026-08-11,2026-08-08,netbanking,settled
pay_42_0037,order_42_0037,750,15.00,2.70,0.00,732.30,HDFC000200140141,2026-08-20,2026-08-18,upi,settled
pay_42_0038,order_42_0038,2580,51.60,9.29,0.00,2519.11,UTIB000162959284,2026-08-11,2026-08-07,card,settled
pay_42_0039,order_42_0039,2490,49.80,8.96,0.00,2431.24,UTIB000406284028,2026-08-28,2026-08-26,netbanking,settled
pay_42_0040,order_42_0040,4510,90.20,16.24,0.00,4403.56,UTIB000266211829,2026-08-25,2026-08-23,card,settled
pay_42_0041,order_42_0041,790,15.80,2.84,0.00,771.36,HDFC000903132646,2026-08-20,2026-08-18,upi,settled
pay_42_0042,order_42_0042,3490,69.80,12.56,0.00,3407.64,PUNB000269042105,2026-09-01,2026-08-28,netbanking,settled
pay_42_0043,order_42_0043,4850.75,97.02,17.46,0.00,4736.27,SBIN000533550699,2026-08-05,2026-08-03,netbanking,settled
pay_42_0044,order_42_0044,3460,69.20,12.46,0.00,3378.34,HDFC000550139320,2026-08-24,2026-08-20,netbanking,settled
pay_42_0045,order_42_0045,3170,63.40,11.41,0.00,3095.19,SBIN000819112790,2026-08-11,2026-08-09,card,settled
pay_42_0046,order_42_0046,1850,37.00,6.66,0.00,1806.34,ICIC000590941149,2026-08-25,2026-08-22,upi,settled
pay_42_0047,order_42_0047,2840,56.80,10.22,0.00,2772.98,HDFC000178663096,2026-08-21,2026-08-19,upi,settled
pay_42_0048,order_42_0048,1850.25,37.00,6.66,0.00,1806.59,SBIN000496776692,2026-08-05,2026-08-03,upi,settled
pay_42_0049,order_42_0049,4760,95.20,17.14,0.00,4647.66,PUNB000966616964,2026-08-12,2026-08-10,netbanking,settled
pay_42_0050,order_42_0050,3910,78.20,14.08,0.00,3817.72,HDFC000244193987,2026-08-12,2026-08-10,upi,settled
pay_42_0051,order_42_0051,4300,86.00,15.48,0.00,4198.52,ICIC000749431082,2026-08-11,2026-08-09,netbanking,settled
pay_42_0052,order_42_0052,1540,30.80,5.54,0.00,1503.66,ICIC000642678844,2026-09-01,2026-08-28,card,settled
pay_42_0053,order_42_0053,970,19.40,3.49,0.00,947.11,ICIC000147337803,2026-08-31,2026-08-27,card,settled
pay_42_0054,order_42_0054,3760,75.20,13.54,0.00,3671.26,UTIB000692362342,2026-08-10,2026-08-06,card,settled
pay_42_0055,order_42_0055,540.75,10.82,1.95,0.00,527.98,PUNB000138684919,2026-08-07,2026-08-05,card,settled
pay_42_0056,order_42_0056,3320.5,66.41,11.95,0.00,3242.14,ICIC000491541578,2026-08-04,2026-08-02,upi,settled
pay_42_0057,order_42_0057,1570,31.40,5.65,0.00,1532.95,HDFC000479759538,2026-08-25,2026-08-22,netbanking,settled
pay_42_0058,order_42_0058,3670,73.40,13.21,0.00,3583.39,SBIN000958872154,2026-08-11,2026-08-08,upi,settled
pay_42_0059,order_42_0059,620.25,12.40,2.23,0.00,605.62,UTIB000961393416,2026-08-28,2026-08-26,netbanking,settled
pay_42_0060,order_42_0060,1860.75,37.22,6.70,0.00,1816.83,UTIB000141580226,2026-08-06,2026-08-04,card,settled
pay_42_0061,order_42_0061,1520,30.40,5.47,0.00,1484.13,ICIC000427696198,2026-08-18,2026-08-15,upi,settled
pay_42_0062,order_42_0062,620,12.40,2.23,0.00,605.37,ICIC000399147754,2026-08-17,2026-08-13,upi,settled
pay_42_0063,order_42_0063,2290,45.80,8.24,0.00,2235.96,PUNB000455569462,2026-08-17,2026-08-13,upi,settled
pay_42_0064,order_42_0064,1410,28.20,5.08,0.00,1376.72,HDFC000216396351,2026-08-11,2026-08-09,card,settled
pay_42_0065,order_42_0065,4230,84.60,15.23,0.00,4130.17,PUNB000649136331,2026-08-18,2026-08-14,card,settled
pay_42_0066,order_42_0066,1470,29.40,5.29,0.00,1435.31,UTIB000101815992,2026-08-25,2026-08-23,netbanking,settled
pay_42_0067,order_42_0067,4180,83.60,15.05,0.00,4081.35,SBIN000491079829,2026-08-26,2026-08-24,upi,settled
pay_42_0068,order_42_0068,2190,43.80,7.88,0.00,2138.32,HDFC000872830248,2026-08-25,2026-08-22,netbanking,settled
pay_42_0069,order_42_0069,3910,78.20,14.08,0.00,3817.72,ICIC000695295870,2026-08-17,2026-08-13,upi,settled
pay_42_0070,order_42_0070,3900,78.00,14.04,0.00,3807.96,SBIN000760904107,2026-08-25,2026-08-22,card,settled
pay_42_0071,order_42_0071,3300,66.00,11.88,0.00,3222.12,ICIC000325681936,2026-08-12,2026-08-10,netbanking,settled
pay_42_0072,order_42_0072,3850,77.00,13.86,0.00,3759.14,UTIB000825449223,2026-08-18,2026-08-15,netbanking,settled
pay_42_0073,order_42_0073,4560,91.20,16.42,0.00,4452.38,SBIN000807435606,2026-08-28,2026-08-26,card,settled
pay_42_0074,order_42_0074,3890,77.80,14.00,0.00,3798.20,HDFC000978775497,2026-08-13,2026-08-11,upi,settled
pay_42_0075,order_42_0075,2080,41.60,7.49,0.00,2030.91,SBIN000126226563,2026-08-11,2026-08-07,upi,settled
pay_42_0076,order_42_0076,3620,72.40,13.03,0.00,3534.57,UTIB000545002643,2026-08-05,2026-08-03,netbanking,settled
pay_42_0077,order_42_0077,4170,83.40,15.01,0.00,4071.59,UTIB000361976301,2026-08-18,2026-08-16,netbanking,settled
pay_42_0078,order_42_0078,520,10.40,1.87,0.00,507.73,HDFC000935822550,2026-09-01,2026-08-28,upi,settled
pay_42_0079,order_42_0079,4610,92.20,16.60,0.00,4501.20,UTIB000153921577,2026-08-19,2026-08-17,upi,settled
pay_42_0080,order_42_0080,2830.25,56.60,10.19,0.00,2763.46,PUNB000700141462,2026-08-25,2026-08-22,card,settled
pay_42_0081,order_42_0081,3630,72.60,13.07,0.00,3544.33,UTIB000991816852,2026-08-19,2026-08-17,card,settled
pay_42_0082,order_42_0082,4300,86.00,15.48,0.00,4198.52,ICIC000907214179,2026-08-18,2026-08-15,netbanking,settled
pay_42_0083,order_42_0083,4420,88.40,15.91,0.00,4315.69,SBIN000394846763,2026-08-18,2026-08-16,upi,settled
pay_42_0084,order_42_0084,1960,39.20,7.06,0.00,1913.74,ICIC000679984033,2026-08-13,2026-08-11,upi,settled
pay_42_0085,order_42_0085,1680,33.60,6.05,0.00,1640.35,SBIN000168965204,2026-08-07,2026-08-05,card,settled
pay_42_0086,order_42_0086,3270,65.40,11.77,0.00,3192.83,SBIN000994310083,2026-08-04,2026-08-02,card,settled
pay_42_0087,order_42_0087,4060.75,81.22,14.62,0.00,3964.91,UTIB000106330865,2026-08-17,2026-08-13,card,settled
pay_42_0088,order_42_0088,4860,97.20,17.50,0.00,4745.30,UTIB000677909930,2026-08-31,2026-08-27,netbanking,settled
pay_42_0089,order_42_0089,4590,91.80,16.52,0.00,4481.68,UTIB000335602191,2026-08-11,2026-08-08,card,settled
pay_42_0090,order_42_0090,640,12.80,2.30,0.00,624.90,UTIB000877583839,2026-08-25,2026-08-22,card,settled
pay_42_0091,order_42_0091,3680,73.60,13.25,0.00,3593.15,PUNB000706011277,2026-08-17,2026-08-13,upi,settled
pay_42_0092,order_42_0092,3790,75.80,13.64,0.00,3700.56,UTIB000295130056,2026-09-01,2026-08-28,card,settled
pay_42_0093,order_42_0093,2170,43.40,7.81,0.00,2118.79,ICIC000917364173,2026-08-13,2026-08-11,card,settled
pay_42_0094,order_42_0094,1790,35.80,6.44,0.00,1747.76,HDFC000904258674,2026-08-18,2026-08-16,upi,settled
pay_42_0095,order_42_0095,1640,32.80,5.90,0.00,1601.30,HDFC000909851739,2026-08-27,2026-08-25,upi,settled
pay_42_0096,order_42_0096,4790.5,95.81,17.25,0.00,4677.44,SBIN000608482316,2026-08-11,2026-08-08,upi,settled
pay_42_0097,order_42_0097,1610,32.20,5.80,0.00,1572.00,ICIC000280162221,2026-08-11,2026-08-09,netbanking,settled
pay_42_0098,order_42_0098,4170.5,83.41,15.01,0.00,4072.08,HDFC000721358005,2026-08-12,2026-08-10,card,settled
pay_42_0099,order_42_0099,3960,79.20,14.26,0.00,3866.54,UTIB000867741192,2026-08-17,2026-08-13,upi,settled
pay_42_0100,order_42_0100,4030,80.60,14.51,0.00,3934.89,HDFC000848605284,2026-08-11,2026-08-08,card,settled
pay_42_0101,order_42_0101,3570,71.40,12.85,0.00,3485.75,PUNB000940348305,2026-08-28,2026-08-26,card,settled
pay_42_0102,order_42_0102,2690,53.80,9.68,0.00,2626.52,PUNB000795294275,2026-08-05,2026-08-03,upi,settled
pay_42_0103,order_42_0103,4710,94.20,16.96,0.00,4598.84,ICIC000782454310,2026-08-18,2026-08-14,card,settled
